"id","category","capability_or_problem","current_state","benchmarks","classification","severity","impact","recommendation","phase"
"GAP-A13","Notifications","مزامنة كل دقيقة وقناة داخل التطبيق فقط","لا push/email/chat integrations","Asana Inbox; Linear+Slack; Jira automation","نقص تنافسي","متوسط","العمل المهم قد لا يصل في سياق المستخدم","event-driven delivery واختيار email/Teams/Slack لاحقاً","التالي"
"GAP-A14","Legacy schema","نماذج وجداول مبيعات قديمة مخفية","surface قوالب فاتورة فقط لكن بيانات legacy باقية","N/A","دين تقني","متوسط","تعقيد migrations والسياسات والتقارير","خطة deprecation/export/archive ثم إزالة آمنة","التالي"
"GAP-D01","Code lifecycle","لا GitHub/GitLab/Azure Repos integration","لا commit/branch/repository models","Jira; Azure DevOps; GitHub; GitLab; Linear; YouTrack","نقص تنافسي أساسي","عال جداً","المهمة لا تعكس التنفيذ البرمجي الحقيقي","ابدأ GitHub/GitLab links وwebhooks أو integration service ضيق","التالي"
"GAP-D02","Pull requests","لا PR/MR/review/check status داخل المهمة","يدوي وخارج النظام","GitHub; GitLab; Azure DevOps; Linear","نقص تنافسي أساسي","عال","لا trace من requirement إلى code review","روابط PR/MR وحالة المراجعة والدمج مع صلاحيات","التالي"
"GAP-D03","CI/CD","لا build/test/deploy traceability","غير موجود","Azure DevOps; GitLab; GitHub Actions; Jira integrations","نقص تنافسي أساسي","عال","لا إثبات أن المهمة وصلت إلى بيئة أو نجحت الاختبارات","اربط checks/deployments بعد تكامل المستودع","التالي"
"GAP-D04","Release management","لا versions/releases/changelog/environments","timeline ليس release model","GitLab; Jira; Azure DevOps; Redmine","نقص تنافسي","عال","صعوبة التخطيط للإصدارات وتتبع ما شُحن","milestone/release entity وربط المهام والكود والنشر","التالي"
"GAP-D05","Agile backlog","لا backlog وsprint/iteration أصيلان","قائمة/كانبان فقط","Jira; Azure Boards; GitLab; Linear; YouTrack; Shortcut","نقص تنافسي أساسي","عال","لا تخطيط cadence أو التزام sprint","أضف backlog وiteration خفيفين إذا كانت الفرق تستخدم Scrum فعلاً","التالي"
"GAP-D06","Work hierarchy","لا Epic→Story→Task/Subtask hierarchy عامة","متطلب↔مهمة فقط","Jira; Azure Boards; GitLab; Linear; Shortcut","نقص تنافسي","عال","تفكيك المبادرات والrollup محدود","أضف parent_id/type محدوداً مع rollups لا schema مفتوحاً فوراً","التالي"
"GAP-D07","Estimation","لا story points/estimate أصيل ظاهر","لا capacity basis موثوق","Jira; Azure Boards; Linear; YouTrack; Shortcut","نقص تنافسي","متوسط-عال","لا forecast أو قياس التزام الفريق","ابدأ estimate بسيطاً واختر points أو hours ولا تجمعهما بلا قرار","التالي"
"GAP-D08","Agile analytics","لا velocity/burndown/cycle time/cumulative flow","dashboard تشغيلي لا historical agile analytics","Jira; Azure Boards; GitLab; Linear; YouTrack","نقص تنافسي","متوسط-عال","لا تعلم من الأداء التاريخي","سجل transitions ثم أضف cycle time وthroughput قبل رسوم كثيرة","لاحقاً"
"GAP-D09","Dependencies","لا blocked-by/predecessor/successor بين المهام","الأشرطة مستقلة","Jira; Azure Boards; Linear; OpenProject; Redmine","نقص تنافسي أساسي","عال","المخاطر الزمنية والتسلسل مخفيان","علاقة dependency مع منع الدورة وإظهار blocker أولاً","التالي"
"GAP-D10","Advanced scheduling","لا critical path/baseline/auto scheduling","timeline وweekly فقط","OpenProject; Wrike; Microsoft Project; Smartsheet","نقص تنافسي","متوسط","ضعف المشاريع الكبيرة ذات الاعتماديات","بعد dependencies أضف baseline؛ لا تبنِ resource leveling مبكراً","لاحقاً"
"GAP-D11","Development taxonomy","لا Bug/Feature/Incident/Component/Environment أصيلة","المهمة موحدة والمشكلة governance item","Jira; Azure Boards; GitLab; YouTrack","نقص تنافسي","متوسط","فلاتر وتقارير التطوير أقل دقة","أنواع عمل محدودة قابلة للتهيئة مع دلالات ثابتة","التالي"
"GAP-D12","Triage/intake","لا inbox/form request موحد","الإنشاء مباشر من النظام","Jira Forms; Asana Forms; Linear Triage; Wrike Requests","نقص تنافسي","متوسط","طلبات الفريق تصل خارج النظام وتفقد البيانات","نموذج طلب داخلي + triage قبل automation واسعة","التالي"
"GAP-C01","Comments","لا comments أو threaded discussion على المهمة","description/notes واجتماعات فقط","تقريباً كل المنافسين","نقص تنافسي أساسي","عال","القرار والتنفيذ يتشتتان في chat","تعليقات مع mentions ومرفقات وتدقيق وإشعارات","التالي"
"GAP-C02","Mentions/watchers","لا @mentions أو watchers/subscriptions","تنبيهات مشتقة فقط","Jira; GitHub; GitLab; Asana; Linear","نقص تنافسي","عال","لا اشتراك سياقي أو طلب انتباه مباشر","ابنها مع comments لا كميزة منفصلة","التالي"
"GAP-C03","Approvals","لا approval/sign-off workflow عام","حالات وقرارات محاضر فقط","Wrike; Asana; monday; ClickUp","نقص تنافسي","متوسط","اعتماد المتطلبات/الملفات يبقى يدوياً","approval بسيط للمتطلب/كراسة/تسليم قبل proofing متقدم","لاحقاً"
"GAP-C04","Knowledge base","لا wiki/docs collaborative knowledge base","كراسة وملفات فقط","GitLab Wiki; YouTrack KB; Notion; ClickUp Docs; Redmine Wiki","نقص تنافسي","متوسط","معرفة الفريق خارج سياق العمل","اربط نظام docs الحالي أو تكامل لا تبنِ Notion جديداً فوراً","لاحقاً"
"GAP-C05","External collaboration","لا ضيوف أو بوابة عميل","مقصود خارج v1","Asana guests; ClickUp clients; Wrike external approvers; OpenProject shares","خارج النطاق يصبح فجوة عند الحاجة","متوسط","تقارير واعتمادات العملاء تبقى يدوية","بوابة read/approve محدودة فقط بعد تثبيت RBAC","لاحقاً"
"GAP-C06","Calendar/video","لا Google/Outlook/Teams/Zoom sync","meeting link يدوي","Asana; monday; ClickUp; Wrike; Microsoft Planner","نقص تنافسي","متوسط","ازدواج جدولة الاجتماعات","ابدأ ICS/Outlook/Google calendar one-way ثم evaluate two-way","لاحقاً"
"GAP-R01","Time tracking","لا timer/time entries/timesheets","خارج v1","YouTrack; Redmine; OpenProject; Asana; ClickUp; Wrike","نقص تنافسي مشروط","متوسط-عال للوكالة","لا actual effort أو utilization أو billing basis","أضف فقط إن كانت الإدارة ستستخدم البيانات أسبوعياً","لاحقاً"
"GAP-R02","Capacity","لا capacity/workload مبني على effort","عبء بعدد المهام فقط","Azure Boards; Asana; ClickUp; Wrike; OpenProject","نقص تنافسي","عال عند تخطيط فرق متعددة","تكليفات غير واقعية لا تظهر","estimate + availability + workload قبل resource leveling","لاحقاً"
"GAP-R03","Budgets/profitability","لا budget/cost/rate/profit","مقصود خارج v1","Wrike; OpenProject; Smartsheet; agency tools","خارج النطاق يصبح فجوة إدارية","منخفض-متوسط","لا قياس ربحية المشروع","ابقه خارج النظام أو تكامل مالي منفصل","ليس الآن"
"GAP-P01","Portfolio hierarchy","لا program/initiative/goal/OKR hierarchy","قائمة مشاريع ومؤشرات فقط","Jira Plans; Azure portfolios; GitLab epics; Linear initiatives; Asana goals","نقص تنافسي","متوسط-عال عند التوسع","لا rollup استراتيجي لعدة مشاريع","أضف initiative lightweight بعد استقرار المشاريع","لاحقاً"
"GAP-P02","Reporting builder","لا custom report/dashboard builder","لوحة ثابتة وdrilldowns محددة","Jira; Asana; monday; ClickUp; Wrike; Smartsheet","نقص تنافسي","متوسط","كل سؤال جديد يحتاج كوداً","saved filters + export أولاً ثم report cards قابلة للتركيب","لاحقاً"
"GAP-X01","Custom fields/types","لا منشئ حقول/أنواع عام","statuses فقط قابلة للتخصيص","Jira; GitHub Projects; YouTrack; ClickUp; monday; Redmine","نقص تنافسي","عال على المدى المتوسط","كل اختلاف عميل يحتاج migration/code","حزمة حقول محدودة typed/validated لا JSON حر بلا حوكمة","لاحقاً"
"GAP-X02","Automation","لا rules builder أو event actions","scheduler ثابت للتنبيه/النسخ","Jira; GitHub Actions; Asana Rules; monday; ClickUp; Wrike","نقص تنافسي أساسي","عال","عمل يدوي وتحديثات متأخرة","قواعد محددة: event→conditions→safe actions مع audit","التالي"
"GAP-X03","API/webhooks","لا public API أو tokens/webhooks","JSON داخلي بجلسة فقط","كل أدوات التطوير الرئيسية ومعظم أدوات العمل","نقص تنافسي أساسي","عال جداً","يصعب أي تكامل مستقبلي ويزيد الربط المباشر بقاعدة البيانات","API v1 محدود وwebhooks موقعة مع scopes/rate limits","التالي"
"GAP-X04","Integration ecosystem","لا marketplace/connectors جاهزة","استيراد ملفات فقط","Jira 3000+; ClickUp 1000+; Microsoft 365; GitHub/GitLab","نقص تنافسي","عال","ارتفاع تكلفة كل اتصال جديد","لا تبنِ marketplace؛ اختر Git provider + calendar + chat حسب الاستخدام","لاحقاً"
"GAP-X05","Templates/recurrence","لا project/task templates أو recurring tasks عامة","قالب الفاتورة فقط","Linear; Asana; ClickUp; monday; Trello","نقص تنافسي","متوسط","إعادة إعداد مشاريع متشابهة يدوياً","قالب مشروع من مشروع ناجح + recurrence بسيط","لاحقاً"
"GAP-X06","Migration importers","لا import مباشر من Jira/Asana/Trello/GitHub","CSV/XLSX schema ثابت","ClickUp importers; GitHub/GitLab importers","نقص تبنٍ","متوسط","تكلفة انتقال البيانات مرتفعة","خرائط استيراد لأداة واحدة عند وجود مشروع انتقال حقيقي","لاحقاً"
"GAP-S01","Enterprise identity","لا SAML/SSO/SCIM/LDAP","password/2FA/passkeys فقط","Jira Enterprise; Azure DevOps; GitLab; YouTrack; Redmine LDAP","نقص مؤسسي","متوسط الآن/عال لاحقاً","إدارة الحسابات اليدوية ومخاطر offboarding","OIDC/SAML قبل التوسع خارج فريق صغير","لاحقاً"
"GAP-S02","Permission customization","أدوار عامة ومحلية ثابتة","Policies قوية لكن roles غير مصممة بحرية","Jira; GitLab; Wrike; Redmine","نقص مؤسسي","متوسط","استثناءات العملاء تتطلب كوداً وقد تسبب غموضاً","أغلق Viewer أولاً ثم capability sets محدودة","لاحقاً"
"GAP-U01","Mobile/offline","لا تطبيق native أو offline","responsive web فقط","Asana; ClickUp; Wrike; Trello; Jira; Planner","خارج النطاق/نقص تنافسي","متوسط","تحديث العمل الميداني أبطأ","PWA محسنة قبل native app إذا أثبت الاستخدام الحاجة","لاحقاً"
"GAP-U02","Multilingual","العربية فقط","مقصود v1","معظم المنافسين","خارج النطاق","منخفض الآن","يحد المستخدمين غير العرب","أضف i18n فقط عند ظهور مستخدمين فعليين","ليس الآن"
"GAP-U03","Multi-tenant/workspaces","شركة واحدة فقط","مقصود v1","كل SaaS الرئيسي وRedmine/OpenProject متعدد المشاريع","خارج النطاق","منخفض الآن/حرج إن تحول إلى SaaS","لا يمكن بيع المنتج لعدة مؤسسات بأمان","لا تنفذه دون قرار منتج ومعمارية منفصلة","ليس الآن"
"GAP-U04","Service management","لا help desk/SLA/incident queue","خارج النطاق","Jira Service Management; YouTrack Helpdesk; GitLab incidents","فجوة مجال محتملة","منخفض-متوسط","دعم العملاء يبقى بأداة أخرى","تكامل help desk أفضل من دمجه الآن","ليس الآن"
"GAP-U05","AI assistance","لا تلخيص/تخطيط/بحث AI","خارج v1","Jira Rovo; Asana AI; ClickUp Brain; monday AI; GitLab Duo","فجوة تسويقية منخفضة","منخفض","لا مكسب إنتاجية آلي لكنه ليس الأساس","أجله حتى جودة البيانات وAPI والحوكمة والأمان","ليس الآن"
"GAP-UX01","Personal work","لا صفحة My Work/My Tasks شخصية محفوظة مستقلة","توجد قائمة عامة وفلاتر وتنبيهات","Asana My Tasks; Jira Your work; Linear My issues; ClickUp Home","نقص UX","متوسط","يحتاج العضو لإعادة بناء نطاقه يومياً","أنشئ صفحة اليوم/عملي من saved filters الحالية","التالي"
"GAP-UX02","Saved views","لا views شخصية محفوظة ومشتركة لكل قائمة","الحالة في URL فقط","GitHub Projects; Jira filters; Asana; ClickUp; monday","نقص UX","متوسط","تكرار الفلاتر وصعوبة توحيد اجتماعات المتابعة","saved views بأسماء وصلاحية بسيطة قبل dashboard builder","لاحقاً"
"GAP-UX03","Bulk/inline work","التحرير والعمليات الدفعية محدودة مقارنة بالمنافسين","حوارات وتحديث حالة فردي","Jira; GitHub Projects; Linear; monday; ClickUp","نقص UX","متوسط","تكلفة تشغيل عالية عند عشرات المهام","multi-select محدود وتغيير status/assignee/dates مع تأكيد وتدقيق","لاحقاً"
"GAP-UX04","Keyboard speed","لا command palette شامل أو shortcuts كثيفة","بحث عام واختصارات محدودة","Linear; Jira; GitHub; YouTrack","نقص UX","منخفض-متوسط","المستخدم الخبير أبطأ","أضف command menu للإجراءات الأكثر تكراراً بعد قياس الاستخدام","لاحقاً"
"GAP-UX05","Onboarding","لا onboarding تفاعلي أو project templates جاهزة","دليل PDF وتوثيق جيد","Asana; monday; ClickUp; Jira templates","نقص تبنٍ","متوسط","المدير يهيئ كل مشروع يدوياً","wizard أول مشروع + 2-3 قوالب CloudTech مع بيانات غير وهمية","لاحقاً"
