"system","category","best_for","major_strengths","major_limitations","beats_project_desk_on","project_desk_beats_on","recommended_role_for_cloudtech","evidence_refs"
"Wrike","PPM وإدارة موارد مؤسسية","المؤسسات والوكالات التي تحتاج capacity ووقتاً وميزانيات وproofing وموافقات وتحليلات","Portfolio وresource bookings وeffort؛ planned-vs-actual وrates؛ request workflows وproofing وBI؛ تكاملات وأمن مؤسسي","أغلب التفوق الحاسم في خطط مرتفعة غير منشورة السعر؛ عبء إعداد وواجهة كثيفة؛ المعرفة الأصلية أقل عمقاً من Notion","المحافظ والسعة والموارد والوقت والميزانية والطلبات والموافقات والتقارير والتكاملات والامتثال","العربية وRTL؛ بساطة الاستخدام؛ كراسة المتطلبات والمحاضر؛ ملكية المصدر والاستضافة وغياب رسم المقعد","بديل مشروط — فقط إذا تحولت CloudTech إلى PMO مؤسسي ثقيل؛ حالياً هو مرجع للموارد والموافقات","S216;S217;S218;S325"
"Smartsheet","PPM قائم على الجداول والبيانات","PMO والفرق المعتادة على spreadsheets وتحتاج forms وdashboards وتحكم محافظ","Control Center وportfolios؛ forms مشروطة؛ dashboards وformulas وconnectors؛ workload والموارد والوقت والميزانية ضمن المنظومة","التجربة الجدولية قد تتطلب تصميم النموذج؛ وظائف PPM والموارد والـconnectors مجزأة كإضافات؛ المعرفة والمحادثة أقل عمقاً","النماذج والبيانات والتقارير والمحافظ والموارد والوقت والميزانية والتكاملات والأمن المؤسسي","نموذج مجال واضح بدل sheets؛ متطلبات واجتماعات ومخاطر وعميل ككيانات جاهزة؛ عربية وسيادة محلية","بديل مشروط — مناسب فقط إن أصبحت الإدارة spreadsheet-first؛ وإلا مرجع للـforms والdashboards","S219;S220;S221;S222;S325"
"Notion","معرفة ومستندات وتعاون مرن","الفرق التي تحتاج wiki وdocs وقواعد بيانات مترابطة وصفحات ضيوف","تأليف تعاوني وwiki؛ قواعد بيانات وعلاقات وviews؛ Forms وautomations؛ مشاركة وضيوف وAI search","لا workload أو capacity أو time tracking أصلياً بعمق PPM؛ لا budget model أصيل؛ الحرية قد تنتج حوكمة وقواعد بيانات غير متسقة","المعرفة التعاونية والتعليقات والإشارات والنماذج والضيوف والبحث والتكاملات","حوكمة مشروع صلبة جاهزة؛ كراسة متطلبات بإصدار حالي؛ اجتماعات ومخاطر وقضايا وسياسات ونسخ مشفرة وجدول عربي","مكمّل — مساحة معرفة وتوثيق تعاوني إن لزم، مع إبقاء السجل الرسمي والحوكمة في Project Desk","S223;S224;S225;S226;S227;S228;S325"
"Basecamp","تعاون بسيط مع العملاء","الفرق الصغيرة والخدمية التي تريد نقاشات ورسائل وcheck-ins وClient Mode دون PPM ثقيل","UX بسيط؛ Message Boards وCampfire وautomatic check-ins؛ Client Mode وملفات؛ تطبيقات متعددة وتسعير ثابت للخطة غير المحدودة","لا forms ولا أتمتة عامة أو أهداف أو resource planning متقدم؛ تكاملات أضيق؛ لا يثبت المصدر المعتمد اكتمال SOC audit خاص بالبائع","التعليقات والمحادثة والـcheck-ins وتعاون العميل والجوال وسهولة الاستخدام والوقت","المتطلبات بإصدارات والمخاطر والقضايا وأمن الملفات والتدقيق والنسخ المشفرة والأدوار وRTL وقالب الفاتورة","مرجع — أفضل نموذج للتعاون الهادئ مع العميل؛ اقتباس Client Mode وcheck-ins دون استبدال النظام","S229;S230;S231;S232;S233;S325"
"Trello","Kanban خفيف","الأفراد والفرق الصغيرة التي تريد لوحة بصرية سريعة التبني","Kanban بسيط؛ Butler automation؛ Power-Ups؛ تطبيقات جوال وسطح مكتب؛ ضيوف وأمن Atlassian","لا أهداف أو موارد أو وقت أو ميزانية أصلية؛ portfolio والتقارير خفيفان؛ تعاون العميل هو board مشترك لا بوابة مجال كاملة","سهولة اللوحة والتعليقات والأتمتة والنظام البيئي والجوال والضيوف","عمق المشروع والعميل والمتطلبات والاجتماعات والمخاطر والملفات والtimeline والجدول الأسبوعي والتدقيق والنسخ وRTL","مرجع — معيار للبساطة والتفاعل في Kanban، وليس بديلاً عن حوكمة Project Desk","S234;S235;S236;S237;S238;S325"
"Microsoft Planner / Project","إدارة عمل وجدولة احترافية ضمن Microsoft 365","المؤسسات Microsoft-first من مهام Planner البسيطة إلى Gantt وcritical path ومحافظ Project","Gantt واعتماديات وbaselines وcritical path؛ موارد ومحافظ وميزانيات في الخطط الأعلى؛ Teams وSharePoint وGraph وPower Automate وأمن M365","تراخيص ومسميات معقدة؛ البيانات والعمل موزعان بين خدمات Microsoft؛ forms والوقت ليسا رحلة Planner موحدة وبعض رحلات الجوال محدودة","الجدولة الاحترافية والمحافظ والموارد والميزانية والتعاون المكتبي والأتمتة والامتثال","تجربة عربية موحدة؛ كراسة المتطلبات والمحاضر والمخاطر والقضايا؛ تشغيل أبسط بلا تشتت خدمات وتراخيص","بديل مشروط — إذا أصبحت CloudTech Microsoft-first وتحتاج Project scheduling عميقاً؛ وإلا مرجع للتبعيات والbaseline","S239;S240;S241;S242;S243;S244;S325"
"Teamwork","إدارة مشاريع أعمال العملاء","شركات الخدمات والبرمجيات التي تدير عملاء ومشاريع وسعة ووقتاً وربحية","Client records؛ workload وcapacity وlong-range resourcing؛ skills وtime tracking وbudgets وrates وprofitability؛ Gantt وMy Work وintake","تركيزه التشغيلي والمالي لا يثبت دورة code/CI عميقة؛ الأدلة المستخدمة لا تثبت تعريباً أصلياً أو self-host؛ يلزم تحقق مستقل من الطبقات والتسعير","الموارد والسعة والوقت والميزانية والربحية ومشاركة العميل وMy Work وintake","العربية وRTL؛ كراسة المتطلبات وإصداراتها والمحاضر والمخاطر؛ سيادة الكود والبيانات؛ عدم التحول إلى محاسبة","مرجع — أقرب benchmark تجاري لخدمات العملاء؛ اقتباس client view والسعة والوقت فقط حسب الحاجة","S013;S325;S326"
"Productive","تشغيل الوكالات وشركات الخدمات","الوكالات والاستشارات وشركات IT التي تربط المشاريع بالوقت والموارد والميزانيات والربحية","Time tracking؛ resource planning وforecasting وutilization؛ budgets وprofitability وتقارير؛ CRM وفوترة","ليس منصة code lifecycle عميقة بحسب نطاق المنتج؛ محوره المالي أوسع من قرار Project Desk غير المحاسبي؛ الأدلة المستخدمة لا تثبت RTL أو self-host","الوقت والسعة والتنبؤ والاستغلال والميزانية والربحية وتشغيل شركة الخدمات","المتطلبات والمحاضر والمخاطر والقضايا والجدول العربي والسيادة؛ وضوح النطاق غير المحاسبي","مرجع — دراسة مفاهيم capacity وutilization دون استيراد CRM والمحاسبة والفوترة الشاملة","S014;S325;S326"
"Zoho Projects","إدارة مشاريع عامة وissue tracking ضمن Zoho","الفرق التي تريد قيمة وظيفية واسعة مع Gantt ووقت وأتمتة وتكاملات Git وتقويم","Tasks وsubtasks وGantt واعتماديات؛ time tracking وworkload؛ automation وcustom fields/workflows وSLAs؛ issue tracking وتعليقات وتقارير وتكاملات Git","اتساع المنظومة يحتاج تهيئة وتكاملاً؛ لا يقدم الدليل المعتمد كراسة المتطلبات والمحاضر المتخصصة كما هي؛ الارتباط بمنظومة Zoho قد يزيد نطاق الإدارة","الاعتماديات والوقت والعبء والأتمتة والحقول وسير العمل وتتبع القضايا والتعليقات والتقويم وتكاملات Git","التخصيص المحلي العربي وRTL؛ كراسة متطلبات ومحاضر وحضور ومخاطر وملفات وقوالب خاصة؛ ملكية كاملة","بديل مشروط — خيار buy واسع ومنخفض الاحتكاك إذا قُبلت منظومة Zoho؛ وإلا مرجع للتبعيات والوقت والissue sync","S016;S325"
"Aha! Roadmaps","استراتيجية منتج وRoadmapping","منظمات المنتج التي تربط الأهداف والمبادرات بالإصدارات والepics والfeatures عبر عدة خطوط","Goals وinitiatives؛ releases وepics وfeatures؛ roadmaps متعددة وdependencies وscenario planning وGantt وcapacity وقوالب إصدار","ليست بديلاً لسجلات العميل والتشغيل اليومي والمحاضر؛ نطاقها الاستراتيجي أوسع وأعلى تجريداً من حاجة CloudTech الحالية","استراتيجية المنتج وhierarchy المبادرات والإصدارات والسيناريوهات والسعة وخرائط الطريق","تنفيذ المشروع اليومي بالعربية؛ العميل والمتطلبات الرسمية والاجتماعات والمخاطر والملفات وقالب الفاتورة","مرجع — استلهام milestone/release وinitiative rollups لاحقاً؛ لا حاجة لمنتج استراتيجية منفصل الآن","S015;S325"
"OpenProject","إدارة مشاريع كلاسيكية وهجينة ذاتية الاستضافة","المنظمات التي تريد Gantt واعتماديات ووقتاً وتكلفة واجتماعات ووثائق في PMO مفتوح المصدر","Work packages وعلاقات وجدولة وGantt؛ time/cost وbudgets؛ اجتماعات ووثائق؛ API ونضج PostgreSQL وتشغيل self-host","أثقل تشغيلياً وأعم مجالاً؛ تجربة العميل العربي ليست جوهر المنتج؛ بعض إضافات الأمن والحوكمة المتقدمة Enterprise","التبعيات وGantt والوقت والتكلفة والتخطيط متعدد المشاريع وAPI ونضج التشغيل","رحلة عربية RTL؛ client/contact؛ كراسة متطلبات بإصدارات؛ قالب فاتورة غير محاسبي؛ footprint أبسط وتخصيص محلي","بديل مشروط — أقوى مرشح إذا تحولت الحاجة إلى PMO كلاسيكي؛ حالياً مرجع للتبعيات والزمن","S301;S302;S303;S304;S305;S325"
"Redmine","Issue tracking وإدارة مشاريع قابلة للتخصيص ذاتياً","الفرق التي تريد core مفتوحاً مستقراً مع custom fields وworkflows وplugins وAPI وربط مستودعات","Custom fields وworkflows؛ REST API وplugins/themes؛ repositories وtime tracking وGantt وتقويم ومشاريع فرعية؛ سجل تشغيل طويل","واجهة وتجربة أقل حداثة واتساقاً؛ lifecycle للplugins وتشغيل Rails مسؤولية داخلية؛ بناء مجال العميل والحوكمة يحتاج تخصيصاً","التخصيص وAPI والوقت وGantt وربط المستودعات والنظام الإضافي","UI عربي أكثر تخصصاً وحداثة؛ العميل وكراسة المتطلبات والمحاضر والمخاطر وقالب الفاتورة مدمجة؛ استعادة وملفات ملائمان للنطاق","بديل جزئي — مناسب لشراء issue/time/custom workflow بدلاً من بنائها؛ وإلا مرجع لقابلية التخصيص","S306;S307;S308;S309;S325"
"Taiga","Agile مفتوح المصدر","فرق Scrum/Kanban التي تريد backlog وepics وuser stories وsprints بواجهة مركزة","Scrum بمفاهيم كاملة؛ Kanban مع swimlanes وWIP؛ API وwebhooks وimporters وتكاملات repository/chat","أخف في portfolio والتكلفة والموارد؛ لا يغطي سياق العميل والحوكمة المؤسسية بعمق؛ بعض الوثائق التشغيلية قد تتأخر عن الإصدارات","backlog وstories وsprints وWIP وAPI/webhooks والاستيراد وتجربة Agile المركزة","العملاء والمتطلبات بإصدارات والمخاطر والقضايا والاجتماعات والمحاضر والجدول الأسبوعي العربي وقوالب التسليم","مرجع — أفضل نموذج لأول backlog/sprint/WIP داخل Project Desk مع إبقاء الرابط إلى العميل والمتطلب","S310;S311;S312;S313;S325"
"Plane","إدارة عمل برمجي حديثة مفتوحة المصدر/open-core","فرق البرمجيات التي تريد cycles وmodules وepics وviews وAPI بواجهة حديثة","Work items وcycles وmodules وepics واعتماديات وinitiatives وreleases؛ API وwebhooks وOAuth وMCP؛ UX حديث","Community ليست كل المنتج التجاري؛ بعض القدرات في طبقات مدفوعة؛ self-host متعدد الخدمات وRedis/RabbitMQ/object storage أعقد من Project Desk","نموذج العمل البرمجي والاعتماديات والإصدارات وAPI/webhooks والامتداد والتعاون والتوسع","سياق العميل العربي وكراسة المتطلبات والمحاضر والمخاطر وقالب الفاتورة؛ codebase واحدة وfootprint أبسط","مرجع — benchmark رئيسي للواجهة وIA البرمجية؛ لا يعتمد كبديل قبل اختبار Community وتكلفة التشغيل","S314;S315;S316;S317;S318;S325"
"Leantime","Strategy-to-execution ذاتي الاستضافة","الفرق الصغيرة التي تريد ربط الأهداف بالعمل وMy Work والوقت والretrospectives مع حمل معرفي منخفض","Goals وblueprints؛ My Work وtime blocking؛ dependencies وmilestones وGantt وtimesheets؛ notes وwhiteboards وretrospectives وAPI/plugins","حدود OSS مقابل plugins والخدمات وAI تحتاج تحققاً؛ توفر ar-SA لا يثبت جودة RTL؛ traceability للكود أقل من GitLab/Tuleap","الهدف إلى العمل وMy Work والتخطيط الشخصي والوقت والretrospectives والwhiteboards والامتداد","كراسة متطلبات versioned ومحاضر وقالب فاتورة وسياق عميل؛ RTL مطبق محلياً؛ ملفات ونسخ واستعادة ملائمة للنظام","مرجع — اقتباس My Work وgoal-to-work وretrospective؛ تأجيل AI والـplugin marketplace","S319;S320;S321;S325"
"Tuleap","ALM ذاتي الاستضافة وموجه للتتبع والامتثال","الفرق البرمجية المنظمة أو المقيدة التي تحتاج workflow قابلاً للضبط وtraceability واختبارات ونشراً air-gapped","Trackers وworkflows؛ Scrum/Kanban وbacklogs وreleases وsprints؛ Git/SVN وpull requests/Gerrit وJenkins؛ docs/wiki وtest management؛ self-host/cloud/air-gap","نطاق ALM أوسع وأثقل من حاجة CloudTech الحالية؛ بعض القدرات المتقدمة Enterprise؛ لا تثبت الأدلة المستخدمة رحلة عربية أو حوكمة عميل مماثلة","تتبع end-to-end للكود والبناء والاختبار والإصدار؛ workflows والامتثال وخيارات النشر المقيد","بساطة الاستخدام العربي؛ العميل وكراسة المتطلبات والمحاضر والمخاطر والملفات وقوالب التسليم؛ تشغيل أخف","بديل مشروط — فقط إذا أصبحت traceability المنظمة أو air-gap هي الأولوية؛ وإلا مرجع لعقد التتبع والاختبار","S017;S325"
