"requirement_id","category","status","requirement_ar","implementation_trace","test_or_verification","acceptance_or_gap"
"BR-028","Business rule","Implemented","قوالب الفواتير ليست فواتير محاسبية ولا تنشئ رصيداً أو تحصيلاً أو حالة دفع أو قيداً.","app/Services/Sales/*; app/Models/SalesDocument.php","tests/Feature/SalesDocumentWorkflowTest.php; tests/Unit/SalesCalculatorTest.php",""
"BR-029","Business rule","Implemented","قالب الفاتورة من نوع invoice وحالته draft أو archived فقط؛ المشروع والعميل والتواريخ سياق معاينة اختياري.","app/Services/Sales/*; app/Models/SalesDocument.php","tests/Feature/SalesDocumentWorkflowTest.php; tests/Unit/SalesCalculatorTest.php",""
"BR-030","Business rule","Implemented","إذا اختير عميل ومشروع للقالب، يجب أن يتبع المشروع ذلك العميل.","app/Services/Sales/*; app/Models/SalesDocument.php","tests/Feature/SalesDocumentWorkflowTest.php; tests/Unit/SalesCalculatorTest.php",""
"BR-031","Business rule","Implemented","إجمالي القالب = subtotal − discount ثم tax على الأساس بعد الخصم ثم total؛ لا تحويل عملات.","app/Services/Sales/*; app/Models/SalesDocument.php","tests/Feature/SalesDocumentWorkflowTest.php; tests/Unit/SalesCalculatorTest.php",""
"BR-032","Business rule","Implemented","رقم القالب يحجز داخل معاملة ولا يعاد استخدامه حتى لو وجدت بيانات تاريخية.","app/Services/Sales/*; app/Models/SalesDocument.php","tests/Feature/SalesDocumentWorkflowTest.php; tests/Unit/SalesCalculatorTest.php",""
"BR-033","Business rule","Implemented","PM يرى ويدير قوالبه فقط، وعلاقة القالب بمشروع لا تمنحه ملكية/عضوية جديدة.","app/Services/Sales/*; app/Models/SalesDocument.php","tests/Feature/SalesDocumentWorkflowTest.php; tests/Unit/SalesCalculatorTest.php",""
"BR-034","Business rule","Implemented","import commit لا يتم إلا من preview صالح وبصمة مطابقة، ويكون كلياً أو لا شيء.","app/Services/DataCenter/*","tests/Feature/DataCenter*",""
"BR-035","Business rule","Implemented","التفضيل الشخصي للتنبيه لا يمكنه تجاوز lead window أو فئة عطلها Admin.","app/Services/NotificationService.php","tests/Feature/*Notification*",""
"BR-036","Business rule","Implemented","استعادة النسخة تتطلب مستخدم Admin نشطاً موجوداً في لقطة المصدر، safety backup، تحققاً كاملاً وسياج كتابة.","app/Services/Backup/*","tests/Feature/Backup*; tests/Feature/Restore*",""
"BR-037","Business rule","Implemented","ملفات النسخ لا تدخل داخل حزمة النسخ الجديدة، والنسخة القديمة database-only لا تدعي استعادة ملفات غائبة.","app/Services/Backup/*","tests/Feature/Backup*; tests/Feature/Restore*",""
"BR-038","Business rule","Implemented","الحالة المستخدمة لا يمكن تعطيلها، ويجب أن يبقى لكل نوع workflow حالة open نشطة.","app/Services/WorkflowStatusService.php","tests/Feature/WorkflowStatus*",""
"BR-039","Business rule","Implemented","الأسبوع الحالي المنفذ يبدأ الأحد وينتهي السبت، وتعد الجمعة والسبت عطلة؛ إعداد التقويم لا يغير ذلك حالياً.","app/Services/WeeklyScheduleBuilder.php; app/Services/SystemSettingService.php","tests/Unit/WeeklyScheduleBuilderTest.php; GAP-007/GAP-008",""
"BR-040","Business rule","Implemented","السجلات القابلة للتعديل التي تدعم `lock_version` ترفض النسخة القديمة بدلاً من الكتابة الصامتة.","app/Models/Concerns/OptimisticLock.php","tests/Feature/*OptimisticLock*",""
"DR-001","Data","Implemented","يجب أن تطبق قاعدة البيانات مفاتيح خارجية وفهارس وفريدات المخطط الحالي.","database/migrations/*; app/Models/*; app/Http/Requests/*","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-002","Data","Implemented","يجب أن تكون كل كلمات المرور hashed وأسرار 2FA/Remember Token مخفية عن serialization.","database/migrations/*; app/Models/*; app/Http/Requests/*","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-003","Data","Implemented","يجب أن تكون حقول code/number الفريدة محمية في قاعدة البيانات وفي التحقق.","database/migrations/*; app/Models/*; app/Http/Requests/*","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-004","Data","Implemented","يجب أن تستخدم أوقات المجال UTC عند التخزين بعد تطبيع توقيت العمل، مع عرض ISO/local مناسب.","database/migrations/*; app/Models/*; app/Http/Requests/*","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-005","Data","Implemented","يجب أن تحتفظ المهمة ببداية ونهاية غير NULL، بينما يكون المسؤول ووقت الإسناد اختياريين ومتسقين.","database/migrations/*; app/Models/*; app/Http/Requests/*","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-006","Data","Implemented","يجب أن تحافظ علاقة requirement_task على تفرد الزوج وألا تعبر المشاريع وفق تحقق الخادم.","database/migrations/*; app/Models/*; app/Http/Requests/*","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-007","Data","Implemented","يجب أن يحفظ AssignmentEvent تاريخ الإسناد دون تعديل الأحداث القديمة عند تغير المسؤول.","database/migrations/*; app/Models/*; app/Http/Requests/*","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-008","Data","Implemented","يجب أن يكون لكل اجتماع timeline_entry فريد ومحضر فريد.","database/migrations/*; app/Models/*; app/Http/Requests/*","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-009","Data","Implemented","يجب أن يكون لكل مشروع requirement_book واحد ولكل كتاب version_number فريد.","database/migrations/*; app/Models/*; app/Http/Requests/*","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-010","Data","Implemented","يجب أن تسجل الملفات الحجم والبصمة والحالة والرافع والوقت، وتخفي موقع التخزين.","app/Models/FileObject.php; app/Models/AttachmentLink.php; app/Services/FileService.php","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-011","Data","Implemented","يجب أن تحسب SHA-256 من bytes الفعلية قبل اعتبار الملف/النسخة صالحاً.","app/Models/FileObject.php; app/Models/AttachmentLink.php; app/Services/FileService.php","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-012","Data","Implemented","يجب أن تكون روابط الملفات المؤرشفة مراجع احتفاظ دائمة لا تجعل الملف يتيماً.","app/Models/FileObject.php; app/Models/AttachmentLink.php; app/Services/FileService.php","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-013","Data","Implemented","يجب أن تستخدم الكميات ثلاث منازل والأسعار/النسب منزلتين بحسب مخطط القالب، والحساب BCMath لا float.","app/Models/SalesDocument.php; app/Models/SalesLineItem.php; app/Services/Sales/*","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-014","Data","Implemented","يجب أن تكون client/company snapshots JSON تاريخية منفصلة عن البيانات الحية.","app/Models/SalesDocument.php; app/Models/SalesLineItem.php; app/Services/Sales/*","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-015","Data","Implemented","يجب ألا تخزن قوالب الفواتير أي payment balance أو collection state في الواجهة الحالية.","app/Models/SalesDocument.php; app/Models/SalesLineItem.php; app/Services/Sales/*","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-016","Data","Implemented","يجب أن تسجل DataJob حالة واضحة وأخطاء قابلة للتتبع إلى sheet/row/field.","app/Models/DataJob.php; app/Models/ImportError.php; app/Services/DataCenter/*","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-017","Data","Implemented","يجب أن يحفظ SystemSetting القيمة JSON بما في ذلك null صريحاً، ولا يقبل مفاتيح غير معروفة.","app/Models/SystemSetting.php; app/Services/SystemSettingService.php","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-018","Data","Implemented","يجب أن تحتوي ActivityLog على request/correlation context عند توفر الطلب ولا تتضمن credentials أو محتوى الملف.","app/Models/ActivityLog.php; app/Services/ActivityLogger.php","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-019","Data","Implemented","يجب أن تعتمد مؤشرات اللوحة على استعلامات البيانات الحالية لا على قيم cache كمصدر حقيقة.","app/Services/DashboardService.php; app/Services/ProjectMetrics.php","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-020","Data","Implemented","يجب أن تشمل حزمة الاستعادة مخزون الملفات والبصمات ومؤشر اكتمال يطابق لقطة SQLite.","app/Services/Backup/*; app/Models/Backup*","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-021","Data","Implemented","يجب أن تحفظ الحزمة key ID غير سري ولا تحفظ مفتاح التشفير نفسه.","app/Services/Backup/*; app/Models/Backup*","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-022","Data","Implemented","يجب أن يكون restore nonce أحادي الاستخدام ومحدود العمر ومقيداً بالمستخدم والملف والبصمة.","app/Services/Backup/*; app/Models/Backup*","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-023","Data","Implemented","يجب أن تمسح الاستعادة الناجحة sessions وpassword reset tokens وتدور remember tokens.","app/Services/Backup/*; app/Models/Backup*","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"DR-024","Data","Partial","يجب أن يكون إعداد تقويم/توقيت واحد مصدر الحقيقة لكل الحسابات؛ توجد حالياً قيم مخزنة وقيم config ثابتة غير موحدة بالكامل.","app/Services/SystemSettingService.php; app/Services/WeeklyScheduleBuilder.php; config/project-desk.php","اختبارات الوحدة/التكامل وفحص migration/schema للكيان المرتبط",""
"FR-AUD-001","Functional","Implemented","يجب أن يسجل النظام actor/action/subject/before/after/project/request/correlation/IP/user-agent/time للعمليات المدعومة.","`ActivityLogger.php`, `activity_logs`","`ActivityLogContextTest.php`, `SecurityActivityAuditTest.php`","AC-NFR-004; اختبارات ActivityLog"
"FR-AUD-002","Functional","Implemented","يجب أن يكتب سجل النشاط داخل معاملة المجال بحيث يلغى مع rollback ولا يظهر قبل commit.","Services + `ActivityLogger.php`","اختبارات المجال والتدقيق","AC-NFR-004; اختبارات ActivityLog"
"FR-AUD-003","Functional","Implemented","يجب ألا يوفر التطبيق endpoint لتعديل أو حذف سجل النشاط.","routes/models","`SecurityActivityAuditTest.php`","AC-NFR-004; اختبارات ActivityLog"
"FR-AUD-004","Functional","Implemented","يجب أن يعرض تبويب نشاط المشروع السجلات المرتبطة بالمشروع فقط بترتيب الأحدث وترقيم 25.","`ProjectController@show`","`ProjectWorkflowTest.php`, `governance-smoke.mjs`","AC-NFR-004; اختبارات ActivityLog"
"FR-AUD-005","Functional","Implemented","يجب أن يولد middleware معرفي request/correlation آمنين ويردهما في الاستجابة.","`RequestContext.php`","`ActivityLogContextTest.php`","AC-NFR-004; اختبارات ActivityLog"
"FR-AUTH-001","Functional","Implemented","يجب أن يسمح النظام بتسجيل الدخول بالبريد وكلمة المرور للحساب النشط غير المؤرشف فقط.","`FortifyServiceProvider.php`","`AuthenticationTest.php`, `DisabledAccountTest.php`","AC-AUTH-001…005"
"FR-AUTH-002","Functional","Implemented","يجب أن يطبق النظام حداً قدره خمس محاولات دخول في الدقيقة لكل بريد/IP.","`FortifyServiceProvider.php`","`AuthenticationTest.php`, `SecurityActivityAuditTest.php`","AC-AUTH-001…005"
"FR-AUTH-003","Functional","Implemented","يجب أن ينشئ تسجيل الدخول الناجح جلسة ويوجه المستخدم إلى `/dashboard`.","`config/fortify.php`","`AuthenticationTest.php`","AC-AUTH-001…005"
"FR-AUTH-004","Functional","Implemented","يجب أن يسجل الخروج ويلغي الجلسة الحالية.","Fortify / `SecurityActivitySubscriber.php`","`AuthenticationTest.php`","AC-AUTH-001…005"
"FR-AUTH-005","Functional","Implemented","يجب أن يرفض middleware أي حساب صار غير نشط أو مؤرشف، ويسجل خروجه ويلغي جلسته.","`EnsureActiveUser.php`","`DisabledAccountTest.php`","AC-AUTH-001…005"
"FR-AUTH-006","Functional","Implemented","يجب أن يدعم النظام طلب رابط إعادة كلمة المرور وإعادة تعيينها عبر البريد المهيأ.","`config/fortify.php`, `ResetUserPassword.php`","`PasswordResetTest.php`","AC-AUTH-001…005"
"FR-AUTH-007","Functional","Implemented","يجب أن يتطلب النظام تحقق البريد قبل صفحات المجال الموسومة `verified`.","`routes/web.php`","`EmailVerificationTest.php`, `VerificationNotificationTest.php`","AC-AUTH-001…005"
"FR-AUTH-008","Functional","Implemented","يجب ألا يتيح النظام التسجيل الذاتي العام.","`config/fortify.php`","`RegistrationTest.php`, `InternalAccountsTest.php`","AC-AUTH-001…005"
"FR-AUTH-009","Functional","Implemented","يجب أن يدعم النظام تفعيل وتأكيد وتعطيل المصادقة الثنائية واستعمال رموز الاستعادة.","Fortify، `SecurityController.php`","`TwoFactorChallengeTest.php`, `Settings/SecurityTest.php`","AC-AUTH-001…005"
"FR-AUTH-010","Functional","Implemented","يجب أن يطبق حد خمس محاولات 2FA في الدقيقة للجلسة.","`FortifyServiceProvider.php`","`TwoFactorChallengeTest.php`","AC-AUTH-001…005"
"FR-AUTH-011","Functional","Implemented","يجب أن يدعم النظام تسجيل وإدارة والتحقق من Passkeys بعد تأكيد كلمة المرور.","Fortify Passkeys، `routes/settings.php`","`Settings/SecurityTest.php`","AC-AUTH-001…005"
"FR-AUTH-012","Functional","Implemented","يجب أن يتطلب النظام تأكيد كلمة المرور لتغيير البريد أو لتغييرات الحساب الحساسة.","`RequireSensitiveProfilePassword.php`, `RequireSensitiveTeamPassword.php`","`PasswordConfirmationTest.php`, `Settings/ProfileUpdateTest.php`","AC-AUTH-001…005"
"FR-AUTH-013","Functional","Implemented","يجب أن يبطل النظام الجلسات الأخرى وRemember Token عند تغيير البريد أو كلمة المرور أو الدور.","`UserSessionSecurity.php`, `TeamController.php`","`TeamWorkflowTest.php`, `Settings/SecurityTest.php`","AC-AUTH-001…005"
"FR-AUTH-014","Functional","Implemented","يجب أن يسجل النظام أحداث الدخول والخروج والفشل و2FA وPasskeys دون تخزين كلمات المرور أو الأسرار.","`SecurityActivitySubscriber.php`","`SecurityActivityAuditTest.php`","AC-AUTH-001…005"
"FR-BCK-001","Functional","Implemented","يجب أن يسمح لـAdmin بإنشاء حزمة `.pdesk` كاملة تشمل لقطة SQLite وكل ملف غير backup مشار إليه.","`SqliteBackupService.php`, `ProjectBackupBundleManager.php`","`SqliteBackupControllerTest.php`, `SqliteBackupRestoreIntegrationTest.php`","AC-BCK-001…003; AC-NFR-005"
"FR-BCK-002","Functional","Implemented","يجب أن تستبعد الحزمة ملفات النسخ نفسها لمنع recursion.","`ProjectBackupBundleManager.php`","`SqliteBackupManagerTest.php`","AC-BCK-001…003; AC-NFR-005"
"FR-BCK-003","Functional","Implemented","يجب أن تشفر الحزمة كاملة في chunks مصادق عليها باستخدام AES-256-GCM ومفتاح 32 بايت لا يضمّن في الحزمة.","`ProjectBackupBundleManager.php`","`SqliteBackupManagerTest.php`","AC-BCK-001…003; AC-NFR-005"
"FR-BCK-004","Functional","Implemented","يجب أن يحتوي manifest checksums للقاعدة والملفات ومخزوناً مصادقاً وحدود اكتمال.","`ProjectBackupBundleManager.php`","`SqliteBackupManagerTest.php`","AC-BCK-001…003; AC-NFR-005"
"FR-BCK-005","Functional","Implemented","يجب أن يتحقق النظام من الحزمة عند الإنشاء والرفع والتحقق والاستعادة، ويرفض traversal والتكرار والحجم/العدد الزائد وعدم تطابق المخزون.","خدمات النسخ","اختبارات النسخ والاستعادة","AC-BCK-001…003; AC-NFR-005"
"FR-BCK-006","Functional","Implemented","يجب أن يقبل رفع `.pdesk` وملفات SQLite القديمة المسموحة؛ وأن يحول القديم إلى حزمة مشفرة database-only.","`UploadSqliteBackupRequest.php`, `SqliteBackupService.php`","`SqliteBackupControllerTest.php`","AC-BCK-001…003; AC-NFR-005"
"FR-BCK-007","Functional","Implemented","يجب أن يتطلب التحقق والاستعادة Admin وكلمة مرور حديثة؛ وأن يطبق rate limit للاستعادة.","`routes/web.php`, `FileObjectPolicy.php`","`SqliteBackupControllerTest.php`","AC-BCK-001…003; AC-NFR-005"
"FR-BCK-008","Functional","Implemented","يجب أن يصدر التحقق restore nonce محدود العمر مرتبطاً بالمستخدم والحزمة والبصمة، ويستهلك مرة واحدة عند الاستعادة.","`RestoreNonceManager.php`","`SqliteBackupControllerTest.php`","AC-BCK-001…003; AC-NFR-005"
"FR-BCK-009","Functional","Implemented","يجب أن تتطلب الاستعادة عبارة التأكيد الدقيقة وSHA-256 وrestore nonce.","`RestoreSqliteBackupRequest.php`","`SqliteBackupControllerTest.php`","AC-BCK-001…003; AC-NFR-005"
"FR-BCK-010","Functional","Implemented","يجب أن تنشئ الاستعادة حزمة `pre_restore` آمنة قبل الاستبدال.","`SqliteBackupService.php`","`SqliteBackupRestoreIntegrationTest.php`","AC-BCK-001…003; AC-NFR-005"
"FR-BCK-011","Functional","Implemented","يجب أن تمسك الاستعادة سياج كتابة حصرياً وتدخل وضع الصيانة، وأن ترفض/تؤجل الكتابات الأخرى.","`RestoreWriteFence.php`, `HoldRestoreReadLock.php`","`RestoreWriteFenceTest.php`","AC-BCK-001…003; AC-NFR-005"
"FR-BCK-012","Functional","Implemented","يجب أن تستبدل الاستعادة الملفات وقاعدة SQLite وWAL/SHM ذريعاً قدر الإمكان، وأن ترجع السابق عند فشل أي مرحلة.","`SqliteBackupService.php`","`SqliteBackupRestoreIntegrationTest.php`","AC-BCK-001…003; AC-NFR-005"
"FR-BCK-013","Functional","Implemented","يجب أن تلغي الاستعادة كل الجلسات وreset tokens وRemember Tokens بعد النجاح، وتسجل خروج منفذها.","`UserSessionSecurity.php`, `SqliteBackupController@restore`","`SqliteBackupRestoreIntegrationTest.php`","AC-BCK-001…003; AC-NFR-005"
"FR-BCK-014","Functional","Implemented","يجب أن ينفذ scheduler النسخ التلقائي يومياً أو أسبوعياً حسب الإعداد، دون تكرار الفترة، ويحتفظ بعدد 1–90 من النسخ التلقائية.","`AutomaticBackup.php`","`AutomaticBackupCommandTest.php`","AC-BCK-001…003; AC-NFR-005"
"FR-BCK-015","Functional","Implemented","يجب أن يسمح بتنزيل النسخة الآمنة مع Content-Type خاص وSHA-256 وسياسة no-store.","`SqliteBackupController@download`","`SqliteBackupControllerTest.php`","AC-BCK-001…003; AC-NFR-005"
"FR-CLI-001","Functional","Implemented","يجب أن يعرض النظام قائمة العملاء المرئيين فقط مع بحث وفرز/ترقيم وفصل النشط عن المؤرشف.","`ClientController.php`, `Client::visibleTo`","`ClientContactCrudTest.php`","AC-DIR-001…002"
"FR-CLI-002","Functional","Implemented","يجب أن يسمح لـAdmin وPM بإنشاء عميل ذي كود فريد واسم وحالة وبيانات اتصال اختيارية.","`ClientPolicy.php`, `SaveClientRequest.php`","`ClientContactCrudTest.php`","AC-DIR-001…002"
"FR-CLI-003","Functional","Implemented","يجب أن يسجل النظام منشئ العميل ويستخدمه ضمن نطاق الرؤية والإدارة لغير Admin.","migration `000360`, `Client.php`","`ClientContactCrudTest.php`","AC-DIR-001…002"
"FR-CLI-004","Functional","Implemented","يجب أن يسمح بتعديل العميل للمستخدم الذي تدخله نتيجة `manageableBy` فقط.","`ClientPolicy.php`, `Client::manageableBy`","`ClientContactCrudTest.php`","AC-DIR-001…002"
"FR-CLI-005","Functional","Implemented","يجب أن يدعم أرشفة العميل واستعادته دون حذف مشاريعه أو جهات اتصاله.","`ClientController.php`","`ClientContactCrudTest.php`","AC-DIR-001…002"
